,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
181,Vatican City,7,+1,,,,7,,8739.0,
182,Cabo Verde,6,,1.0,,,5,,11.0,2.0
183,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
184,Nepal,6,+1,,,1.0,5,,0.2,
185,Liberia,6,,,,,6,,1.0,
186,St. Barth,6,,,,1.0,5,,607.0,
187,Nicaragua,5,,1.0,,,4,,0.8,0.2
188,Bhutan,5,+1,,,1.0,4,,6.0,
189,Montserrat,5,,,,,5,,1002.0,
190,Somalia,5,,,,1.0,4,,0.3,
191,Turks and Caicos,5,,,,,5,,129.0,
192,Botswana,4,,1.0,,,3,,2.0,0.4
193,Gambia,4,,1.0,,2.0,1,,2.0,0.4
194,Anguilla,3,+1,,,,3,,200.0,
195,Belize,3,,,,,3,,8.0,
196,British Virgin Islands,3,,,,,3,,99.0,
197,Burundi,3,+1,,,,3,,0.3,
198,CAR,3,,,,,3,,0.6,
199,Malawi,3,+3,,,,3,,0.2,
200,Caribbean Netherlands,2,,,,,2,,76.0,
201,St. Vincent Grenadines,2,,,,1.0,1,,18.0,
202,Sierra Leone,2,,,,,2,,0.3,
203,Papua New Guinea,1,,,,,1,,0.1,
204,Timor-Leste,1,,,,,1,,0.8,
205,China,81589,+35,3318.0,+6,76408.0,1863,429.0,57.0,2.0
206,Total:,1009452,"+74,256",52853.0,"+5,661",211878.0,744721,37712.0,129.5,6.8
